Date,Total Revenue,Cost of Revenue,Gross Profit,Premium Revenue,Premium Cost Revenue,Premium Gross Profit,Ad Revenue,Ad Cost of revenue,Ad gross Profit,MAUs,Premium MAUs,Ad MAUs,Premium ARPU,Sales and Marketing Cost,Research and Development Cost,General and Adminstrative Cost
31.03.2023,3.042,2.276,776,2.713,1.937,776,329,339,-10,515,210,317,"4,3",347,435,140
31.12.2022,3.166,2.365,801,2.717,1.939,778,449,426,23,489,205,295,"4,6",453,415,164
30.09.2022,3.036,2.286,750,2.651,1.908,743,385,378,7,456,195,273,"4,6",432,386,160
30.06.2022,2.864,2.160,704,2.504,1.804,700,360,356,4,433,188,265,"4,5",391,336,171
31.03.2022,2.661,1.990,671,2.379,1.704,675,282,286,-4,422,182,252,"4,4",296,250,131
31.12.2021,2.689,1.977,712,2.295,1.625,670,394,352,42,406,180,236,"4,4",340,253,126
30.09.2021,2.501,1.833,668,2.178,1.545,633,323,288,35,381,172,220,"4,3",280,208,105
30.06.2021,2.331,1.668,663,2.056,1.423,633,275,245,30,365,165,210,"4,3",279,255,117
31.03.2021,2.147,1.599,548,1.931,1.393,538,216,206,10,356,158,208,"4,1",236,196,102
31.12.2020,2.168,1.593,575,1.887,1.342,545,281,251,30,345,155,199,"4,3",294,232,118
30.09.2020,1.975,1.486,489,1.790,1.302,488,185,184,1,320,144,185,"4,2",256,176,97
30.06.2020,1.889,1.410,479,1.758,1.263,495,131,147,-16,299,138,170,"4,4",248,267,131
31.03.2020,1.848,1.376,472,1.700,1.219,481,148,157,-9,286,130,163,"4,4",231,162,96
31.12.2019,1.855,1.381,474,1.638,1.189,449,217,192,25,271,124,153,"4,7",276,173,102
30.09.2019,1.731,1.290,441,1.561,1.142,419,170,148,22,248,113,141,"4,7",178,136,73
30.06.2019,1.667,1.233,434,1.502,1.089,413,165,144,21,232,108,129,"4,9",200,151,86
31.03.2019,1.511,1.138,373,1.385,1.023,362,126,115,11,217,100,123,"4,7",172,155,93
31.12.2018,1.495,1.096,399,1.320,959,361,175,147,28,207,96,116,"4,9",163,100,42
30.09.2018,1.352,1.010,342,1.210,894,316,142,116,26,191,87,109,"4,7",146,135,67
30.06.2018,1.273,944,329,1.150,841,309,123,103,20,180,83,101,"4,9",173,143,103
31.03.2018,1.139,856,283,1.037,767,270,102,89,13,170,75,99,"4,7",138,115,71
31.12.2017,1.449,867,582,1.018,761,257,130,106,24,160,71,93,"5,2",173,123,73
30.09.2017,1.032,802,230,923,711,212,109,91,18,150,62,91,"5,1",138,98,67
30.06.2017,1.007,775,232,904,686,218,103,89,14,138,59,83,"5,5",146,95,70
31.03.2017,902,797,105,828,710,118,74,87,-13,131,52,82,"5,5",110,80,54